V_in,V_c,V_th,x_1,x_2,t
409.406,586.000,593.106,1023.000,0.000,0.673
392.559,576.000,584.147,1023.000,0.000,0.678
376.348,568.000,574.803,1023.000,0.000,0.683
354.882,562.000,561.387,1023.000,0.000,0.690
340.539,554.000,551.315,1023.000,0.000,0.695
327.108,542.000,541.036,1023.000,0.000,0.700
314.662,532.000,530.602,1023.000,0.000,0.705
303.266,522.000,520.070,1023.000,0.000,0.710
292.982,511.000,509.497,1023.000,0.000,0.715
282.184,505.000,496.888,1023.000,0.000,0.721
274.529,494.000,486.417,1023.000,0.000,0.726
267.016,484.000,474.077,1023.000,0.000,0.732
262.188,474.000,463.979,1023.000,0.000,0.737
258.690,464.000,454.137,1023.000,0.000,0.742
256.542,457.000,444.605,1023.000,0.000,0.747
255.760,451.000,433.653,1023.000,0.000,0.753
256.610,440.000,424.977,1023.000,0.000,0.758
258.821,432.000,416.766,1023.000,0.000,0.763
262.380,424.000,409.063,1023.000,0.000,0.768
267.269,416.000,401.909,1023.000,0.000,0.773
276.296,413.000,392.806,1023.000,0.000,0.780
284.255,407.000,387.124,1023.000,0.000,0.785
293.428,401.000,382.107,1023.000,0.000,0.790
303.765,396.000,377.782,1023.000,0.000,0.795
315.210,392.000,374.172,1023.000,0.000,0.800
327.703,389.000,371.297,1023.000,0.000,0.805
343.983,389.000,368.758,1023.000,0.000,0.811
361.551,387.000,367.315,1023.000,0.000,0.817
377.077,385.000,367.034,1023.000,0.000,0.822
393.319,384.000,367.524,1023.000,0.000,0.827
410.193,383.000,368.782,1023.000,0.000,0.832
431.147,389.000,371.194,1023.000,0.000,0.838
449.087,391.000,374.118,1023.000,0.000,0.843
467.360,396.000,377.774,1023.000,0.000,0.848
485.870,396.000,382.143,1023.000,0.000,0.853
504.516,399.000,387.202,1023.000,0.000,0.858
526.931,403.000,394.034,1023.000,0.000,0.864
549.228,412.000,401.773,1023.000,0.000,0.870
567.594,419.000,408.965,1023.000,0.000,0.875
585.661,427.000,416.701,1023.000,0.000,0.880
603.333,431.000,424.941,1023.000,0.000,0.885
620.513,438.000,433.641,1023.000,0.000,0.890
637.113,446.000,442.756,1023.000,0.000,0.895
656.140,457.000,454.074,1023.000,0.000,0.901
674.055,466.000,465.841,1023.000,0.000,0.907
688.036,475.000,475.996,1023.000,0.000,0.912
701.074,484.000,486.337,1023.000,0.000,0.917
713.101,492.000,496.810,1023.000,0.000,0.922
724.053,502.000,507.359,1023.000,0.000,0.927
735.691,513.000,519.978,1023.000,0.000,0.933
744.078,523.000,530.499,1023.000,0.000,0.938
751.223,533.000,540.915,1023.000,0.000,0.943
758.106,542.000,553.162,1023.000,0.000,0.949
762.396,549.000,563.158,1023.000,0.000,0.954
765.775,559.000,574.761,1023.000,0.000,0.960
767.099,569.000,584.076,1023.000,0.000,0.965
767.059,578.000,593.003,1023.000,0.000,0.970
765.654,586.000,601.491,1023.000,0.000,0.975
762.894,592.000,609.498,1023.000,0.000,0.980
758.791,597.000,616.979,1023.000,0.000,0.985
750.837,606.000,626.566,1023.000,0.000,0.992
743.617,612.000,632.627,1023.000,0.000,0.997
735.159,618.000,638.040,1023.000,0.000,1.002
725.507,623.000,642.777,1023.000,0.000,1.007
714.712,624.000,646.811,1023.000,0.000,1.012
700.333,629.000,650.766,1023.000,0.000,1.018
687.236,632.000,653.183,1023.000,0.000,1.023
673.203,635.000,654.844,1023.000,0.000,1.028
655.229,637.000,655.913,1023.000,0.000,1.034
639.401,634.000,655.880,1023.000,0.000,1.039
622.892,634.000,655.076,1023.000,0.000,1.044
602.303,634.000,653.202,1023.000,0.000,1.050
584.606,634.000,650.719,1023.000,0.000,1.055
566.518,632.000,647.495,1023.000,0.000,1.060
548.138,626.000,643.546,1023.000,0.000,1.065
529.561,621.000,638.893,1023.000,0.000,1.070
503.414,618.000,631.501,1023.000,0.000,1.077
484.773,614.000,625.254,1023.000,0.000,1.082
466.276,609.000,618.403,1023.000,0.000,1.087
448.019,600.000,610.983,1023.000,0.000,1.092
430.101,592.000,603.036,1023.000,0.000,1.097
412.618,584.000,594.601,1023.000,0.000,1.102
392.342,579.000,584.003,1023.000,0.000,1.108
376.140,572.000,574.656,1023.000,0.000,1.113
357.657,561.000,563.095,1023.000,0.000,1.119
343.152,552.000,553.076,1023.000,0.000,1.124
329.546,541.000,542.838,1023.000,0.000,1.129
316.910,533.000,532.436,1023.000,0.000,1.134
303.124,526.000,519.885,1023.000,0.000,1.140
292.854,514.000,509.313,1023.000,0.000,1.145
283.752,504.000,498.756,1023.000,0.000,1.150
275.865,493.000,488.270,1023.000,0.000,1.155
268.064,481.000,475.900,1023.000,0.000,1.161
262.133,477.000,463.797,1023.000,0.000,1.167
258.653,467.000,453.962,1023.000,0.000,1.172
256.522,457.000,444.436,1023.000,0.000,1.177
255.753,448.000,435.272,1023.000,0.000,1.182
256.348,439.000,426.516,1023.000,0.000,1.187
258.859,433.000,416.607,1023.000,0.000,1.193
262.436,427.000,408.913,1023.000,0.000,1.198
268.480,418.000,400.383,1023.000,0.000,1.204
274.946,411.000,393.950,1023.000,0.000,1.209
282.675,405.000,388.146,1023.000,0.000,1.214
291.624,400.000,383.002,1023.000,0.000,1.219
303.908,398.000,377.681,1023.000,0.000,1.225
315.367,393.000,374.083,1023.000,0.000,1.230
327.874,389.000,371.219,1023.000,0.000,1.235
341.360,386.000,369.105,1023.000,0.000,1.240
358.735,384.000,367.490,1023.000,0.000,1.246
377.284,385.000,366.980,1023.000,0.000,1.252
393.536,387.000,367.482,1023.000,0.000,1.257
410.418,386.000,368.753,1023.000,0.000,1.262
427.839,386.000,370.785,1023.000,0.000,1.267
445.706,387.000,373.567,1023.000,0.000,1.272
463.925,392.000,377.086,1023.000,0.000,1.277
486.114,397.000,382.143,1023.000,0.000,1.283
508.498,402.000,388.198,1023.000,0.000,1.289
527.176,405.000,394.065,1023.000,0.000,1.294
545.770,409.000,400.557,1023.000,0.000,1.299
564.181,414.000,407.639,1023.000,0.000,1.304
585.895,424.000,416.755,1023.000,0.000,1.310
603.561,432.000,425.004,1023.000,0.000,1.315
620.735,441.000,433.712,1023.000,0.000,1.320
637.326,447.000,442.833,1023.000,0.000,1.325
656.341,454.000,454.160,1023.000,0.000,1.331
674.244,464.000,465.934,1023.000,0.000,1.337
688.213,475.000,476.094,1023.000,0.000,1.342
701.239,484.000,486.439,1023.000,0.000,1.347
713.252,495.000,496.915,1023.000,0.000,1.352
724.188,502.000,507.466,1023.000,0.000,1.357
733.990,510.000,518.035,1023.000,0.000,1.362
744.180,522.000,530.612,1023.000,0.000,1.368
752.582,532.000,543.049,1023.000,0.000,1.374
758.171,543.000,553.268,1023.000,0.000,1.379
762.443,552.000,563.261,1023.000,0.000,1.384
765.377,558.000,572.975,1023.000,0.000,1.389
767.107,568.000,584.180,1023.000,0.000,1.395
767.049,577.000,593.101,1023.000,0.000,1.400
765.627,586.000,601.585,1023.000,0.000,1.405
762.849,594.000,609.585,1023.000,0.000,1.410
757.746,598.000,618.511,1023.000,0.000,1.416
752.046,605.000,625.301,1023.000,0.000,1.421
743.514,612.000,632.682,1023.000,0.000,1.427
735.040,618.000,638.088,1023.000,0.000,1.432
725.372,624.000,642.816,1023.000,0.000,1.437
714.563,626.000,646.842,1023.000,0.000,1.442
702.671,627.000,650.145,1023.000,0.000,1.447
687.059,632.000,653.204,1023.000,0.000,1.453
670.098,633.000,655.176,1023.000,0.000,1.459
655.027,638.000,655.903,1023.000,0.000,1.464
639.190,636.000,655.861,1023.000,0.000,1.469
622.671,633.000,655.047,1023.000,0.000,1.474
602.074,634.000,653.162,1023.000,0.000,1.480
584.371,633.000,650.670,1023.000,0.000,1.485
566.279,631.000,647.437,1023.000,0.000,1.490
547.895,627.000,643.479,1023.000,0.000,1.495
525.586,621.000,637.913,1023.000,0.000,1.501
506.905,617.000,632.434,1023.000,0.000,1.506
484.530,613.000,625.124,1023.000,0.000,1.512
466.034,609.000,618.267,1023.000,0.000,1.517
447.782,600.000,610.843,1023.000,0.000,1.522
429.869,592.000,602.890,1023.000,0.000,1.527
412.393,584.000,594.452,1023.000,0.000,1.532
392.127,578.000,583.850,1023.000,0.000,1.538
372.777,572.000,572.684,1023.000,0.000,1.544
357.461,561.000,562.935,1023.000,0.000,1.549
342.968,551.000,552.914,1023.000,0.000,1.554
329.373,541.000,542.674,1023.000,0.000,1.559
316.751,533.000,532.272,1023.000,0.000,1.564
302.982,525.000,519.721,1023.000,0.000,1.570
292.728,514.000,509.151,1023.000,0.000,1.575
283.641,503.000,498.595,1023.000,0.000,1.580
274.345,493.000,486.077,1023.000,0.000,1.586
267.989,483.000,475.751,1023.000,0.000,1.591
262.079,476.000,463.652,1023.000,0.000,1.597
258.616,466.000,453.821,1023.000,0.000,1.602
256.504,457.000,444.301,1023.000,0.000,1.607
255.752,448.000,435.142,1023.000,0.000,1.612
256.365,438.000,426.393,1023.000,0.000,1.617
258.340,432.000,418.100,1023.000,0.000,1.622
263.370,427.000,407.300,1023.000,0.000,1.629
268.556,418.000,400.280,1023.000,0.000,1.634
275.039,411.000,393.856,1023.000,0.000,1.639
282.784,405.000,388.061,1023.000,0.000,1.644
291.749,399.000,382.927,1023.000,0.000,1.649
304.051,397.000,377.617,1023.000,0.000,1.655
315.525,395.000,374.029,1023.000,0.000,1.660
328.044,389.000,371.176,1023.000,0.000,1.665
344.354,386.000,368.664,1023.000,0.000,1.671
358.932,384.000,367.478,1023.000,0.000,1.676
377.493,385.000,366.981,1023.000,0.000,1.682
393.754,387.000,367.493,1023.000,0.000,1.687
410.643,386.000,368.774,1023.000,0.000,1.692
428.070,387.000,370.816,1023.000,0.000,1.697
445.943,388.000,373.608,1023.000,0.000,1.702
464.165,390.000,377.136,1023.000,0.000,1.707
490.079,397.000,383.020,1023.000,0.000,1.714
508.742,402.000,388.241,1023.000,0.000,1.719
527.420,407.000,394.118,1023.000,0.000,1.724
546.012,410.000,400.619,1023.000,0.000,1.729
564.421,416.000,407.710,1023.000,0.000,1.734
580.028,424.000,416.836,1022.000,0.000,1.740
603.789,432.000,424.795,1023.000,0.000,1.745
620.957,441.000,433.525,1023.000,0.000,1.750
640.778,448.000,444.440,1023.000,0.000,1.756
656.543,454.000,454.016,1023.000,0.000,1.761
671.535,463.000,463.893,1023.000,0.000,1.766
688.390,474.000,475.985,1023.000,0.000,1.772
701.403,485.000,486.344,1023.000,0.000,1.777
713.402,495.000,496.833,1023.000,0.000,1.782
724.324,503.000,507.395,1023.000,0.000,1.787
734.110,511.000,517.975,1023.000,0.000,1.792
745.805,522.000,532.587,1023.000,0.000,1.799
752.664,532.000,542.986,1023.000,0.000,1.804
758.236,542.000,553.212,1023.000,0.000,1.809
762.491,553.000,563.211,1023.000,0.000,1.814
765.406,559.000,572.930,1023.000,0.000,1.819
766.967,566.000,582.317,1023.000,0.000,1.824
767.039,577.000,593.070,1023.000,0.000,1.830
765.599,586.000,601.555,1023.000,0.000,1.835
762.083,594.000,611.108,1023.000,0.000,1.841
757.679,601.000,618.471,1023.000,0.000,1.846
751.963,604.000,625.260,1023.000,0.000,1.851
743.412,612.000,632.639,1023.000,0.000,1.857
734.921,618.000,638.041,1023.000,0.000,1.862
725.238,623.000,642.766,1023.000,0.000,1.867
714.414,628.000,646.789,1023.000,0.000,1.872
702.508,628.000,650.087,1023.000,0.000,1.877
684.142,631.000,653.631,1023.000,0.000,1.884
669.905,635.000,655.119,1023.000,0.000,1.889
654.825,636.000,655.840,1023.000,0.000,1.894
638.977,637.000,655.790,1023.000,0.000,1.899
622.450,634.000,654.970,1023.000,0.000,1.904
605.332,632.000,653.384,1023.000,0.000,1.909
584.136,632.000,650.586,1023.000,0.000,1.915
566.040,631.000,647.345,1023.000,0.000,1.920
547.653,629.000,643.380,1023.000,0.000,1.925
525.341,622.000,637.805,1023.000,0.000,1.931
506.661,616.000,632.320,1023.000,0.000,1.936
484.286,613.000,625.002,1023.000,0.000,1.942
465.793,608.000,618.139,1023.000,0.000,1.947
447.545,603.000,610.710,1023.000,0.000,1.952
429.637,593.000,602.752,1023.000,0.000,1.957
412.167,584.000,594.309,1023.000,0.000,1.962
395.226,576.000,585.426,1023.000,0.000,1.967
372.572,571.000,572.567,1023.000,0.000,1.974
357.266,562.000,562.813,1023.000,0.000,1.979
342.784,552.000,552.788,1023.000,0.000,1.984
329.202,542.000,542.547,1023.000,0.000,1.989
316.593,531.000,532.141,1023.000,0.000,1.994
302.841,525.000,519.589,1023.000,0.000,2.000
292.601,516.000,509.018,1023.000,0.000,2.005
283.530,504.000,498.464,1023.000,0.000,2.010
274.254,494.000,485.947,1023.000,0.000,2.016
267.914,483.000,475.622,1023.000,0.000,2.021
262.874,475.000,465.492,1023.000,0.000,2.026
258.580,468.000,453.692,1023.000,0.000,2.032
256.485,457.000,444.177,1023.000,0.000,2.037
255.751,448.000,435.023,1023.000,0.000,2.042
256.382,439.000,426.280,1023.000,0.000,2.047
258.374,431.000,417.994,1023.000,0.000,2.052
263.430,426.000,407.202,1023.000,0.000,2.059
268.633,419.000,400.190,1023.000,0.000,2.064
275.132,410.000,393.775,1023.000,0.000,2.069
282.893,407.000,387.988,1023.000,0.000,2.074
291.874,399.000,382.863,1023.000,0.000,2.079
302.028,396.000,378.425,1023.000,0.000,2.084
315.682,394.000,373.976,1023.000,0.000,2.090
328.214,390.000,371.133,1023.000,0.000,2.095
344.538,387.000,368.634,1023.000,0.000,2.101
359.128,384.000,367.459,1023.000,0.000,2.106
374.531,383.000,367.052,1023.000,0.000,2.111
393.971,386.000,367.488,1023.000,0.000,2.117
410.867,388.000,368.779,1023.000,0.000,2.122
428.301,387.000,370.832,1023.000,0.000,2.127
446.179,388.000,373.635,1023.000,0.000,2.132
464.406,390.000,377.173,1023.000,0.000,2.137
490.323,396.000,383.070,1023.000,0.000,2.144
508.986,402.000,388.301,1023.000,0.000,2.149
527.663,408.000,394.187,1023.000,0.000,2.154
546.254,411.000,400.697,1023.000,0.000,2.159
564.661,415.000,407.796,1023.000,0.000,2.164
586.364,424.000,416.931,1023.000,0.000,2.170
604.016,432.000,425.194,1023.000,0.000,2.175
621.177,441.000,433.915,1023.000,0.000,2.180
640.989,448.000,444.821,1023.000,0.000,2.186
656.744,455.000,454.388,1023.000,0.000,2.191
671.726,464.000,464.257,1023.000,0.000,2.196
688.567,475.000,476.339,1023.000,0.000,2.202
701.566,485.000,486.689,1023.000,0.000,2.207
713.552,495.000,497.169,1023.000,0.000,2.212
724.460,503.000,507.722,1023.000,0.000,2.217
734.231,510.000,518.293,1023.000,0.000,2.222
745.903,522.000,532.892,1023.000,0.000,2.229
752.745,533.000,543.280,1023.000,0.000,2.234
758.300,543.000,553.496,1023.000,0.000,2.239
762.537,552.000,563.484,1023.000,0.000,2.244
765.435,559.000,573.192,1023.000,0.000,2.249
767.123,568.000,584.388,1023.000,0.000,2.255
767.029,578.000,593.299,1023.000,0.000,2.260
765.571,586.000,601.772,1023.000,0.000,2.265
762.034,594.000,611.311,1023.000,0.000,2.271
757.613,599.000,618.662,1023.000,0.000,2.276
751.879,606.000,625.439,1023.000,0.000,2.281
743.309,613.000,632.802,1023.000,0.000,2.287
734.802,618.000,638.192,1023.000,0.000,2.292
725.104,624.000,642.903,1023.000,0.000,2.297
714.265,626.000,646.913,1023.000,0.000,2.302
702.345,627.000,650.197,1023.000,0.000,2.307
683.960,632.000,653.723,1023.000,0.000,2.314
669.714,635.000,655.197,1023.000,0.000,2.319
654.622,637.000,655.906,1023.000,0.000,2.324
638.765,635.000,655.843,1023.000,0.000,2.329
629.854,633.000,655.010,1022.000,0.000,2.334
601.616,634.000,653.545,1023.000,0.000,2.340
583.902,634.000,651.013,1023.000,0.000,2.345
565.801,632.000,647.739,1023.000,0.000,2.350
543.706,626.000,642.968,1023.000,0.000,2.356
525.097,621.000,638.127,1023.000,0.000,2.361
