V_in,V_c,V_th,x_1,x_2,t
336.135,543.000,534.271,775.000,0.000,0.352
326.104,534.000,524.608,775.000,0.000,0.357
316.640,525.000,514.927,775.000,0.000,0.362
306.074,518.000,503.379,775.000,0.000,0.368
297.960,510.000,493.757,775.000,0.000,0.373
290.500,500.000,484.208,775.000,0.000,0.378
283.717,490.000,474.761,775.000,0.000,0.383
277.632,481.000,465.443,775.000,0.000,0.388
271.277,472.000,454.506,775.000,0.000,0.394
266.790,463.000,445.570,775.000,0.000,0.399
263.052,454.000,436.850,775.000,0.000,0.404
259.572,449.000,426.729,775.000,0.000,0.410
257.521,442.000,418.577,775.000,0.000,0.415
256.248,433.000,410.722,775.000,0.000,0.420
255.756,425.000,403.188,775.000,0.000,0.425
256.049,417.000,395.998,775.000,0.000,0.430
257.432,411.000,387.848,775.000,0.000,0.436
259.442,404.000,381.487,775.000,0.000,0.441
262.223,397.000,375.535,775.000,0.000,0.446
266.568,395.000,368.937,775.000,0.000,0.452
271.016,391.000,363.944,775.000,0.000,0.457
276.200,384.000,359.412,775.000,0.000,0.462
282.105,379.000,355.353,775.000,0.000,0.467
288.712,375.000,351.781,775.000,0.000,0.472
297.540,371.000,348.108,775.000,0.000,0.478
304.578,368.000,345.642,774.000,0.000,0.483
314.330,367.000,343.639,775.000,0.000,0.488
325.577,366.000,341.932,775.000,0.000,0.494
335.579,366.000,341.135,775.000,0.000,0.499
346.119,363.000,340.864,775.000,0.000,0.504
357.166,362.000,341.120,775.000,0.000,0.509
368.686,362.000,341.903,775.000,0.000,0.514
383.084,362.000,343.462,775.000,0.000,0.520
395.518,362.000,345.395,775.000,0.000,0.525
406.539,366.000,347.839,774.000,0.000,0.530
424.069,369.000,351.258,775.000,0.000,0.536
437.500,373.000,354.809,775.000,0.000,0.541
451.159,377.000,358.842,775.000,0.000,0.546
465.002,378.000,363.344,775.000,0.000,0.551
478.988,381.000,368.302,775.000,0.000,0.556
495.898,385.000,374.748,775.000,0.000,0.562
510.046,389.000,380.656,775.000,0.000,0.567
527.026,396.000,388.191,775.000,0.000,0.573
541.126,403.000,394.962,775.000,0.000,0.578
555.136,410.000,402.091,775.000,0.000,0.583
566.916,417.000,409.555,774.000,0.000,0.588
582.712,423.000,417.230,775.000,0.000,0.593
596.193,428.000,425.300,775.000,0.000,0.598
612.025,435.000,435.252,775.000,0.000,0.604
624.883,442.000,443.874,775.000,0.000,0.609
637.393,452.000,452.701,775.000,0.000,0.614
651.892,460.000,463.457,775.000,0.000,0.620
663.505,469.000,472.647,775.000,0.000,0.625
674.652,478.000,481.955,775.000,0.000,0.630
685.299,486.000,491.354,775.000,0.000,0.635
695.414,494.000,500.812,775.000,0.000,0.640
704.965,501.000,510.303,775.000,0.000,0.645
718.020,508.000,521.640,775.000,1.000,0.651
739.812,520.000,533.075,775.000,6.000,0.657
776.172,530.000,543.158,775.000,18.000,0.662
811.711,541.000,554.522,775.000,30.000,0.667
845.993,550.000,567.066,775.000,42.000,0.672
875.392,565.000,583.309,775.000,52.000,0.678
899.799,578.000,597.554,775.000,61.000,0.683
913.449,593.000,615.156,775.000,65.000,0.689
923.198,604.000,629.704,775.000,68.000,0.694
932.575,620.000,646.795,775.000,71.000,0.700
938.491,634.000,660.733,775.000,73.000,0.705
943.568,647.000,674.280,775.000,75.000,0.710
946.093,659.000,687.413,774.000,76.000,0.715
947.371,672.000,702.477,775.000,77.000,0.721
947.994,684.000,714.421,775.000,78.000,0.726
952.678,695.000,728.023,775.000,82.000,0.732
960.807,706.000,741.106,775.000,89.000,0.738
966.102,716.000,751.821,775.000,95.000,0.743
969.710,727.000,762.271,775.000,101.000,0.748
972.670,735.000,772.389,775.000,108.000,0.753
972.958,746.000,784.052,775.000,116.000,0.759
974.281,757.000,793.265,775.000,129.000,0.764
969.054,765.000,802.093,775.000,139.000,0.769
955.928,774.000,813.381,775.000,148.000,0.776
939.620,782.000,820.333,775.000,162.000,0.781
916.778,787.000,826.151,775.000,175.000,0.786
887.725,793.000,831.428,775.000,186.000,0.792
856.201,797.000,834.174,775.000,197.000,0.797
815.808,797.000,835.248,775.000,210.000,0.802
786.168,798.000,834.116,775.000,215.000,0.808
748.138,798.000,831.778,775.000,224.000,0.813
693.113,793.000,826.907,775.000,237.000,0.819
649.148,789.000,819.116,776.000,244.000,0.825
610.299,784.000,810.826,775.000,252.000,0.830
576.726,771.000,801.046,775.000,257.000,0.835
538.945,765.000,787.983,775.000,262.000,0.841
510.792,754.000,775.837,775.000,265.000,0.846
476.366,739.000,762.911,775.000,270.000,0.851
444.300,731.000,746.224,775.000,273.000,0.857
409.321,716.000,728.641,775.000,277.000,0.863
384.433,700.000,713.067,775.000,279.000,0.868
356.076,689.000,693.929,775.000,281.000,0.874
334.729,672.000,677.452,775.000,282.000,0.879
304.974,655.000,660.737,775.000,286.000,0.884
278.062,643.000,640.019,775.000,288.000,0.890
255.253,624.000,622.366,775.000,290.000,0.895
233.043,606.000,604.462,775.000,292.000,0.900
205.147,593.000,579.352,775.000,294.000,0.907
189.650,573.000,561.101,775.000,294.000,0.912
169.689,555.000,542.986,775.000,296.000,0.917
147.814,540.000,521.247,775.000,298.000,0.923
129.762,521.000,503.034,775.000,300.000,0.928
110.541,503.000,484.829,775.000,303.000,0.933
94.368,487.000,463.032,775.000,304.000,0.939
77.505,469.000,441.563,775.000,306.000,0.945
67.633,452.000,423.808,775.000,306.000,0.950
56.794,435.000,406.437,775.000,307.000,0.955
47.059,419.000,386.075,775.000,307.000,0.961
39.872,403.000,369.541,775.000,307.000,0.966
32.009,387.000,353.463,775.000,308.000,0.971
25.640,371.000,334.743,775.000,308.000,0.977
19.959,357.000,319.668,775.000,309.000,0.982
14.798,342.000,302.214,775.000,310.000,0.988
11.471,328.000,288.196,775.000,311.000,0.993
8.201,315.000,272.082,775.000,313.000,0.999
5.347,302.000,259.212,775.000,317.000,1.004
5.201,289.000,246.831,775.000,320.000,1.009
7.079,278.000,235.046,775.000,322.000,1.014
11.223,267.000,221.770,775.000,323.000,1.020
15.868,256.000,211.502,775.000,324.000,1.025
22.586,246.000,200.109,775.000,324.000,1.031
29.464,237.000,191.451,775.000,325.000,1.036
38.065,228.000,182.018,775.000,324.000,1.042
46.408,221.000,174.997,775.000,324.000,1.047
56.164,214.000,168.726,775.000,325.000,1.052
66.140,209.000,163.236,775.000,325.000,1.057
79.074,203.000,157.582,775.000,325.000,1.063
89.696,198.000,153.753,775.000,324.000,1.068
105.345,193.000,150.022,775.000,325.000,1.074
119.823,191.000,147.421,775.000,324.000,1.080
133.391,188.000,146.075,775.000,324.000,1.085
147.499,186.000,145.456,775.000,324.000,1.090
165.093,188.000,145.575,775.000,324.000,1.096
180.258,185.000,146.527,775.000,324.000,1.101
195.840,187.000,148.172,775.000,324.000,1.106
215.026,189.000,150.948,775.000,324.000,1.112
234.676,189.000,154.680,775.000,324.000,1.118
251.349,191.000,158.581,775.000,324.000,1.123
271.652,196.000,163.983,775.000,324.000,1.129
288.762,199.000,169.234,775.000,324.000,1.134
306.000,202.000,175.064,775.000,324.000,1.139
326.789,210.000,182.689,775.000,324.000,1.145
344.146,214.000,189.717,775.000,324.000,1.150
361.487,219.000,197.248,775.000,324.000,1.155
385.650,228.000,208.352,775.000,324.000,1.162
402.769,235.000,216.999,775.000,324.000,1.167
419.723,241.000,226.059,775.000,324.000,1.172
439.789,251.000,237.337,775.000,324.000,1.178
456.229,260.000,247.211,775.000,324.000,1.183
472.372,267.000,257.405,775.000,324.000,1.188
491.296,279.000,269.924,775.000,324.000,1.194
506.648,290.000,280.720,775.000,324.000,1.199
524.516,296.000,293.877,775.000,324.000,1.205
541.722,308.000,307.308,775.000,324.000,1.211
552.712,321.000,318.741,774.000,324.000,1.216
568.780,328.000,330.152,775.000,324.000,1.221
583.960,341.000,344.049,775.000,324.000,1.227
595.963,353.000,355.749,775.000,324.000,1.232
607.353,360.000,367.465,775.000,324.000,1.237
620.569,373.000,383.682,774.000,324.000,1.244
632.057,386.000,395.235,775.000,324.000,1.249
641.207,393.000,406.785,775.000,324.000,1.254
651.268,406.000,420.437,775.000,324.000,1.260
658.872,419.000,431.695,775.000,324.000,1.265
665.756,425.000,442.775,775.000,324.000,1.270
673.057,438.000,455.760,775.000,324.000,1.276
678.334,450.000,466.358,775.000,324.000,1.281
683.697,456.000,478.702,775.000,324.000,1.287
688.002,469.000,490.640,775.000,324.000,1.293
690.785,479.000,500.265,775.000,324.000,1.298
692.843,484.000,509.557,775.000,324.000,1.303
694.367,496.000,520.231,775.000,324.000,1.309
694.862,506.000,528.724,775.000,324.000,1.314
694.666,511.000,536.827,775.000,324.000,1.319
693.540,521.000,546.018,775.000,324.000,1.325
691.472,527.000,554.609,775.000,324.000,1.331
688.496,532.000,562.580,775.000,324.000,1.337
685.351,542.000,568.721,775.000,324.000,1.342
681.627,546.000,574.409,775.000,324.000,1.347
676.431,552.000,580.653,775.000,324.000,1.353
671.528,559.000,585.324,775.000,324.000,1.358
666.137,561.000,589.528,775.000,324.000,1.363
688.872,566.000,593.989,775.000,330.000,1.369
733.798,573.000,599.515,775.000,341.000,1.375
777.982,577.000,606.064,775.000,353.000,1.380
806.398,586.000,616.076,775.000,364.000,1.386
824.277,597.000,625.358,775.000,375.000,1.391
827.131,605.000,635.059,775.000,385.000,1.396
814.323,615.000,646.245,775.000,394.000,1.402
775.358,625.000,654.442,775.000,413.000,1.407
708.953,629.000,660.339,775.000,429.000,1.412
577.153,634.000,663.626,775.000,452.000,1.419
446.582,631.000,659.408,775.000,473.000,1.424
306.081,620.000,649.029,775.000,499.000,1.429
238.871,608.000,629.057,775.000,513.000,1.435
197.326,588.000,610.028,775.000,530.000,1.440
190.812,567.000,589.900,775.000,545.000,1.445
209.930,552.000,566.658,775.000,559.000,1.451
237.268,535.000,545.884,775.000,569.000,1.457
321.702,520.000,530.833,775.000,588.000,1.462
399.223,514.000,518.654,775.000,603.000,1.468
470.641,507.000,512.830,775.000,617.000,1.473
535.058,503.000,510.772,775.000,632.000,1.478
568.802,509.000,512.186,775.000,644.000,1.484
582.538,511.000,514.947,775.000,655.000,1.489
577.651,512.000,518.244,775.000,665.000,1.494
552.686,519.000,522.260,775.000,674.000,1.501
515.293,520.000,523.744,775.000,684.000,1.506
459.352,517.000,523.332,775.000,695.000,1.511
386.514,519.000,519.606,775.000,706.000,1.517
320.029,510.000,513.115,775.000,715.000,1.522
240.353,502.000,503.698,775.000,726.000,1.527
160.492,490.000,488.362,775.000,737.000,1.533
120.442,474.000,472.372,775.000,742.000,1.538
66.781,459.000,451.877,775.000,751.000,1.544
38.008,440.000,429.451,775.000,756.000,1.550
18.571,421.000,410.360,774.000,761.000,1.555
3.516,403.000,391.252,774.000,768.000,1.560
0.455,385.000,368.672,775.000,772.000,1.566
3.347,366.000,350.714,775.000,775.000,1.571
12.899,351.000,333.772,774.000,780.000,1.576
27.232,336.000,318.124,775.000,783.000,1.581
52.737,323.000,298.458,775.000,787.000,1.588
80.054,311.000,286.473,775.000,791.000,1.593
107.950,301.000,276.406,775.000,794.000,1.598
143.005,294.000,266.596,775.000,797.000,1.604
193.796,287.000,260.568,775.000,803.000,1.609
243.403,283.000,257.312,775.000,808.000,1.614
306.101,284.000,256.502,775.000,814.000,1.620
353.555,284.000,258.921,775.000,818.000,1.625
411.447,287.000,264.432,775.000,823.000,1.631
462.242,296.000,272.993,775.000,827.000,1.637
501.202,303.000,282.223,775.000,830.000,1.642
533.790,311.000,292.903,775.000,832.000,1.647
564.290,324.000,306.931,774.000,834.000,1.653
595.143,336.000,319.483,775.000,835.000,1.658
616.567,345.000,332.927,775.000,835.000,1.663
644.627,361.000,349.445,775.000,836.000,1.669
668.652,375.000,366.635,775.000,836.000,1.675
688.019,385.000,381.364,775.000,836.000,1.680
712.040,401.000,399.222,775.000,837.000,1.686
728.217,417.000,414.479,775.000,836.000,1.691
747.003,427.000,429.780,775.000,838.000,1.696
765.718,445.000,448.254,775.000,840.000,1.702
779.354,460.000,463.737,775.000,840.000,1.707
793.528,470.000,482.116,775.000,841.000,1.713
803.544,488.000,500.252,775.000,843.000,1.719
810.489,503.000,515.044,775.000,844.000,1.724
759.523,514.000,529.453,775.000,860.000,1.729
677.914,527.000,542.851,775.000,875.000,1.735
580.965,533.000,549.438,775.000,890.000,1.740
483.965,534.000,551.274,775.000,906.000,1.746
406.536,535.000,547.991,775.000,926.000,1.751
401.375,525.000,539.754,775.000,936.000,1.757
431.243,519.000,531.695,775.000,950.000,1.763
504.928,515.000,526.796,775.000,965.000,1.768
619.373,511.000,525.729,775.000,981.000,1.773
723.039,517.000,531.183,775.000,992.000,1.779
812.655,527.000,540.540,775.000,1002.000,1.784
914.607,537.000,553.811,774.000,1018.000,1.789
944.751,556.000,574.822,775.000,1019.000,1.795
964.387,574.000,596.365,775.000,1019.000,1.801
978.673,591.000,614.314,775.000,1019.000,1.806
991.032,609.000,635.533,775.000,1018.000,1.812
1003.151,627.000,652.870,775.000,1019.000,1.817
1012.333,643.000,673.269,775.000,1019.000,1.823
1017.679,660.000,689.805,775.000,1019.000,1.828
1021.296,676.000,708.899,775.000,1019.000,1.834
1021.965,691.000,724.135,775.000,1019.000,1.839
1020.901,706.000,741.480,775.000,1018.000,1.845
1014.885,720.000,757.751,775.000,1019.000,1.851
1010.367,732.000,770.292,775.000,1018.000,1.856
1000.373,744.000,784.273,775.000,1018.000,1.862
986.777,756.000,794.812,775.000,1019.000,1.867
974.536,765.000,805.991,775.000,1018.000,1.873
955.707,774.000,814.212,775.000,1019.000,1.878
935.000,777.000,822.451,775.000,1019.000,1.884
911.808,787.000,829.006,775.000,1019.000,1.890
890.692,793.000,833.044,775.000,1019.000,1.895
863.350,795.000,836.401,775.000,1019.000,1.901
839.017,799.000,837.716,775.000,1019.000,1.906
813.392,798.000,837.779,775.000,1019.000,1.911
781.101,799.000,836.359,775.000,1019.000,1.917
753.047,799.000,833.664,775.000,1019.000,1.922
712.279,795.000,828.214,775.000,1019.000,1.929
675.243,791.000,822.559,775.000,1020.000,1.934
651.666,783.000,815.375,775.000,1019.000,1.939
614.351,779.000,805.841,775.000,1019.000,1.945
582.924,769.000,796.502,775.000,1019.000,1.950
552.043,761.000,784.064,775.000,1018.000,1.956
513.432,753.000,772.748,775.000,1019.000,1.961
488.787,738.000,760.102,775.000,1018.000,1.966
438.486,729.000,741.759,775.000,1019.000,1.973
407.951,713.000,726.968,775.000,1019.000,1.978
378.017,700.000,711.409,775.000,1019.000,1.983
343.070,685.000,691.994,775.000,1019.000,1.989
313.037,668.000,674.977,776.000,1018.000,1.994
253.837,654.000,653.899,779.000,1019.000,2.000
194.505,634.000,634.387,784.000,1019.000,2.005
154.561,613.000,612.935,786.000,1020.000,2.010
101.418,593.000,581.947,791.000,1019.000,2.017
61.541,570.000,558.510,796.000,1019.000,2.022
24.242,549.000,534.272,803.000,1020.000,2.027
9.141,523.000,504.570,808.000,1019.000,2.033
15.146,501.000,480.407,820.000,1020.000,2.038
69.310,478.000,457.718,833.000,1020.000,2.043
129.718,461.000,435.099,841.000,1019.000,2.049
210.794,446.000,417.315,850.000,1019.000,2.055
328.704,438.000,405.288,863.000,1019.000,2.061
427.549,432.000,401.553,875.000,1020.000,2.066
481.362,431.000,402.820,884.000,1017.000,2.071
525.253,437.000,407.394,893.000,1019.000,2.077
529.293,442.000,413.142,905.000,1018.000,2.082
497.933,446.000,418.807,916.000,1018.000,2.087
445.430,452.000,423.415,926.000,1019.000,2.093
385.245,450.000,424.697,934.000,1019.000,2.099
332.620,450.000,422.399,941.000,1020.000,2.105
265.007,443.000,418.021,948.000,1018.000,2.110
190.514,434.000,410.559,960.000,1019.000,2.115
157.349,424.000,397.744,968.000,1019.000,2.121
142.097,411.000,386.020,979.000,1019.000,2.126
178.020,400.000,371.815,992.000,1019.000,2.132
244.023,388.000,362.363,1003.000,1018.000,2.137
377.236,381.000,355.471,1016.000,1019.000,2.143
475.165,384.000,356.739,1023.000,1019.000,2.149
504.520,386.000,362.515,1023.000,1018.000,2.154
556.986,396.000,370.784,1023.000,1019.000,2.160
593.916,402.000,379.866,1023.000,1019.000,2.165
645.403,414.000,392.331,1023.000,1020.000,2.171
665.632,424.000,404.674,1023.000,1018.000,2.176
721.847,435.000,422.316,1023.000,1019.000,2.183
762.372,450.000,436.923,1023.000,1020.000,2.188
780.152,462.000,452.796,1023.000,1018.000,2.193
823.707,479.000,471.860,1023.000,1019.000,2.199
845.904,496.000,489.020,1023.000,1018.000,2.204
878.249,511.000,509.804,1023.000,1018.000,2.210
908.637,528.000,527.773,1023.000,1019.000,2.215
930.097,545.000,549.952,1023.000,1018.000,2.221
962.675,563.000,572.090,1023.000,1020.000,2.227
971.202,580.000,591.139,1023.000,1018.000,2.232
992.067,599.000,613.272,1023.000,1019.000,2.238
1003.325,617.000,631.747,1023.000,1019.000,2.243
1011.237,634.000,653.386,1023.000,1018.000,2.249
1018.825,652.000,670.837,1023.000,1019.000,2.254
1020.944,668.000,691.103,1023.000,1018.000,2.260
1021.293,684.000,707.190,1023.000,1019.000,2.265
1016.036,699.000,728.425,1023.000,1019.000,2.272
1009.058,713.000,742.452,1023.000,1019.000,2.277
997.198,726.000,757.978,1023.000,1019.000,2.283
984.469,738.000,769.645,1023.000,1019.000,2.288
965.884,748.000,782.156,1023.000,1019.000,2.294
947.734,758.000,791.116,1023.000,1019.000,2.299
927.264,766.000,798.754,1023.000,1019.000,2.304
894.920,773.000,807.442,1023.000,1019.000,2.311
869.352,776.000,811.709,1023.000,1019.000,2.316
836.172,781.000,815.066,1023.000,1019.000,2.322
806.613,782.000,816.095,1023.000,1019.000,2.327
769.088,783.000,815.543,1023.000,1019.000,2.333
736.297,783.000,813.277,1023.000,1019.000,2.338
703.091,779.000,808.794,1023.000,1018.000,2.344
660.209,777.000,803.639,1023.000,1019.000,2.349
609.675,768.000,793.942,1023.000,1019.000,2.356
572.921,763.000,784.955,1023.000,1019.000,2.361
535.845,749.000,774.615,1023.000,1019.000,2.366
491.199,743.000,760.710,1023.000,1019.000,2.372
454.098,727.000,747.565,1023.000,1019.000,2.377
409.998,718.000,730.475,1023.000,1019.000,2.383
373.827,700.000,714.845,1023.000,1019.000,2.388
323.077,687.000,694.985,1023.000,1020.000,2.394
290.367,668.000,673.327,1023.000,1019.000,2.400
249.615,651.000,654.651,1023.000,1020.000,2.405
219.745,632.000,631.064,1023.000,1019.000,2.411
190.018,611.000,611.003,1023.000,1019.000,2.416
156.616,594.000,586.486,1023.000,1019.000,2.422
130.846,572.000,565.521,1023.000,1019.000,2.427
96.926,553.000,540.207,1023.000,1020.000,2.433
82.824,532.000,514.392,1023.000,1018.000,2.439
59.104,511.000,493.346,1023.000,1019.000,2.444
40.214,491.000,468.058,1023.000,1019.000,2.450
27.222,471.000,447.191,1023.000,1019.000,2.455
12.504,451.000,422.734,1023.000,1020.000,2.461
7.782,431.000,402.726,1023.000,1019.000,2.466
1.945,412.000,383.466,1023.000,1020.000,2.471
1.280,394.000,361.248,1023.000,1019.000,2.477
3.577,377.000,340.285,1023.000,1020.000,2.483
7.885,360.000,323.863,1023.000,1019.000,2.488
16.965,345.000,305.462,1023.000,1019.000,2.494
25.325,331.000,291.391,1023.000,1018.000,2.499
40.459,317.000,278.416,1023.000,1019.000,2.504
59.399,307.000,264.558,1023.000,1019.000,2.510
77.832,296.000,254.552,1023.000,1019.000,2.515
102.984,287.000,244.261,1023.000,1019.000,2.521
125.752,279.000,236.033,1023.000,1018.000,2.527
157.061,274.000,230.655,1023.000,1019.000,2.532
197.371,269.000,226.369,1023.000,1020.000,2.538
220.237,265.000,224.955,1023.000,1019.000,2.543
257.963,266.000,224.680,1023.000,1019.000,2.549
282.884,265.000,226.303,1023.000,1018.000,2.554
331.944,270.000,229.598,1023.000,1019.000,2.560
358.507,271.000,234.590,1023.000,1018.000,2.565
426.966,277.000,242.968,1023.000,1020.000,2.572
463.909,284.000,251.941,1023.000,1020.000,2.577
473.059,290.000,262.279,1023.000,1017.000,2.582
545.794,304.000,274.554,1023.000,1020.000,2.588
563.928,312.000,287.782,1023.000,1018.000,2.593
617.414,327.000,303.864,1023.000,1019.000,2.599
644.145,339.000,319.156,1023.000,1018.000,2.604
693.543,354.000,341.128,1023.000,1018.000,2.611
727.692,372.000,358.314,1023.000,1018.000,2.616
760.696,386.000,376.329,1023.000,1018.000,2.621
806.848,405.000,398.713,1023.000,1019.000,2.627
828.405,422.000,418.618,1023.000,1018.000,2.632
862.010,442.000,442.483,1023.000,1018.000,2.638
887.977,462.000,462.944,1023.000,1018.000,2.643
916.482,481.000,487.694,1023.000,1018.000,2.649
947.682,501.000,512.665,1023.000,1019.000,2.655
969.111,521.000,537.998,1023.000,1019.000,2.661
979.804,542.000,559.025,1023.000,1018.000,2.666
993.111,559.000,579.547,1023.000,1018.000,2.671
1005.696,581.000,603.631,1023.000,1018.000,2.677
1013.300,600.000,623.240,1023.000,1018.000,2.682
1020.464,618.000,645.954,1023.000,1019.000,2.688
1020.611,636.000,664.220,1023.000,1018.000,2.693
1018.460,653.000,688.314,1023.000,1018.000,2.700
1013.690,670.000,704.416,1023.000,1018.000,2.705
1002.723,685.000,722.426,1023.000,1019.000,2.711
991.430,699.000,736.097,1023.000,1019.000,2.716
974.517,712.000,750.967,1023.000,1019.000,2.722
957.712,723.000,761.868,1023.000,1019.000,2.727
934.422,733.000,773.274,1023.000,1019.000,2.733
907.895,742.000,782.658,1023.000,1019.000,2.739
878.336,748.000,789.951,1023.000,1019.000,2.745
851.548,754.000,794.262,1023.000,1019.000,2.750
822.952,755.000,797.056,1023.000,1019.000,2.755
786.468,760.000,798.564,1023.000,1019.000,2.761
754.447,758.000,797.974,1023.000,1019.000,2.766
714.332,759.000,795.439,1023.000,1019.000,2.772
708.613,755.000,791.484,1020.000,1019.000,2.777
751.054,752.000,785.881,1011.000,1018.000,2.784
802.406,753.000,784.182,997.000,1019.000,2.789
809.876,751.000,785.071,983.000,1019.000,2.794
760.147,755.000,786.516,970.000,1019.000,2.800
708.922,754.000,785.230,961.000,1018.000,2.805
621.897,752.000,780.786,951.000,1018.000,2.811
562.126,747.000,773.037,946.000,1019.000,2.816
530.945,735.000,762.750,943.000,1019.000,2.821
489.297,729.000,747.079,939.000,1019.000,2.828
468.447,715.000,734.507,937.000,1019.000,2.833
418.609,705.000,719.013,933.000,1020.000,2.839
354.576,693.000,704.362,925.000,1018.000,2.844
275.842,673.000,687.302,918.000,1019.000,2.849
211.992,656.000,663.341,912.000,1020.000,2.855
152.449,634.000,641.328,903.000,1018.000,2.860
96.606,615.000,608.276,896.000,1019.000,2.867
64.085,589.000,583.324,890.000,1019.000,2.872
56.319,565.000,558.000,889.000,1019.000,2.877
37.783,543.000,528.784,885.000,1019.000,2.883
23.472,519.000,504.837,881.000,1019.000,2.888
18.629,497.000,481.360,880.000,1019.000,2.893
12.573,476.000,454.414,878.000,1019.000,2.899
9.427,455.000,432.865,877.000,1020.000,2.904
10.561,435.000,408.206,876.000,1020.000,2.910
13.295,417.000,385.049,875.000,1019.000,2.916
17.786,399.000,366.918,874.000,1020.000,2.921
20.930,382.000,349.890,873.000,1019.000,2.926
32.137,367.000,330.733,872.000,1020.000,2.932
28.885,352.000,316.171,869.000,1019.000,2.937
33.998,338.000,302.160,867.000,1019.000,2.942
43.020,325.000,286.543,863.000,1020.000,2.948
43.283,315.000,272.361,856.000,1019.000,2.954
55.827,302.000,261.189,852.000,1019.000,2.959
76.761,292.000,249.229,847.000,1019.000,2.965
86.946,283.000,240.818,844.000,1018.000,2.970
119.076,274.000,233.314,840.000,1019.000,2.975
154.332,269.000,226.661,835.000,1019.000,2.981
191.832,264.000,223.134,829.000,1018.000,2.986
314.020,263.000,221.607,817.000,1019.000,2.991
424.354,266.000,227.855,808.000,1020.000,2.998
482.918,273.000,237.438,801.000,1018.000,3.003
