V_in,V_c,V_th,x_1,x_2,t
511.500,515.000,511.500,775.000,0.000,0.000
525.650,515.000,511.500,775.000,0.000,0.005
542.610,516.000,512.324,776.000,0.000,0.011
556.568,518.000,513.801,775.000,0.000,0.016
570.428,517.000,515.887,775.000,0.000,0.021
584.016,518.000,518.547,774.000,0.000,0.026
597.564,521.000,521.740,775.000,0.000,0.031
610.757,523.000,525.438,775.000,0.000,0.036
626.184,529.000,530.406,775.000,0.000,0.042
638.656,534.000,535.078,775.000,0.000,0.047
653.106,539.000,541.110,775.000,0.000,0.053
664.672,544.000,546.572,775.000,0.000,0.058
675.769,550.000,552.331,775.000,0.000,0.063
686.363,552.000,558.351,775.000,0.000,0.068
696.421,559.000,564.595,775.000,0.000,0.073
705.913,563.000,571.024,775.000,0.000,0.078
716.514,569.000,578.879,775.000,0.000,0.084
724.660,579.000,585.592,775.000,0.000,0.089
733.571,585.000,593.691,775.000,0.000,0.095
740.249,590.000,600.513,775.000,0.000,0.100
746.227,599.000,607.328,775.000,0.000,0.105
751.486,605.000,614.102,775.000,0.000,0.110
756.009,608.000,620.802,775.000,0.000,0.115
759.784,613.000,627.396,775.000,0.000,0.120
763.308,621.000,635.106,775.000,0.000,0.126
765.397,627.000,641.359,775.000,0.000,0.131
766.877,634.000,648.582,775.000,0.000,0.137
767.250,639.000,654.351,775.000,0.000,0.142
766.839,645.000,659.857,775.000,0.000,0.147
765.646,650.000,665.075,775.000,0.000,0.152
763.674,652.000,669.980,775.000,0.000,0.157
760.930,657.000,674.549,775.000,0.000,0.162
756.629,662.000,679.580,775.000,0.000,0.168
752.218,666.000,683.337,775.000,0.000,0.173
745.953,670.000,687.349,775.000,0.000,0.179
739.940,674.000,690.207,775.000,0.000,0.184
733.228,677.000,692.632,775.000,0.000,0.189
725.836,676.000,694.612,775.000,0.000,0.194
717.788,676.000,696.135,775.000,0.000,0.199
707.298,680.000,697.396,775.000,0.000,0.205
697.895,681.000,697.879,775.000,0.000,0.210
687.921,682.000,697.880,775.000,0.000,0.215
675.241,683.000,697.300,775.000,0.000,0.221
664.120,682.000,696.224,775.000,0.000,0.226
652.531,679.000,694.658,775.000,0.000,0.231
640.511,676.000,692.604,775.000,0.000,0.236
628.095,674.000,690.063,775.000,0.000,0.241
612.728,674.000,686.454,775.000,0.000,0.247
599.579,671.000,682.859,775.000,0.000,0.252
586.159,669.000,678.797,775.000,0.000,0.257
569.757,666.000,673.402,775.000,0.000,0.263
555.890,660.000,668.347,775.000,0.000,0.268
541.886,654.000,662.863,775.000,0.000,0.273
527.789,648.000,656.963,775.000,0.000,0.278
513.642,643.000,650.663,775.000,0.000,0.283
496.662,638.000,642.683,775.000,0.000,0.289
482.558,633.000,635.562,775.000,0.000,0.294
469.620,628.000,628.100,774.000,0.000,0.299
451.903,618.000,618.871,775.000,0.000,0.305
438.233,611.000,610.727,775.000,0.000,0.310
424.788,602.000,602.315,775.000,0.000,0.315
411.608,593.000,593.657,775.000,0.000,0.320
398.735,587.000,584.778,775.000,0.000,0.325
383.747,580.000,573.944,775.000,0.000,0.331
371.684,573.000,564.668,775.000,0.000,0.336
360.049,562.000,555.256,775.000,0.000,0.341
348.879,553.000,545.735,775.000,0.000,0.346
