V_in,V_c,V_th,x_1,x_2,t
511.500,515.000,511.500,128.000,810.000,0.000
528.627,515.000,511.500,128.000,810.000,0.005
549.109,513.000,512.497,128.000,810.000,0.011
566.062,515.000,514.283,128.000,810.000,0.016
586.191,519.000,517.298,128.000,810.000,0.022
602.638,521.000,520.658,128.000,809.000,0.027
619.008,524.000,524.656,128.000,810.000,0.032
638.125,530.000,530.151,128.000,810.000,0.038
653.656,535.000,535.417,128.000,810.000,0.043
671.749,537.000,542.303,128.000,810.000,0.049
689.177,545.000,549.841,128.000,810.000,0.055
703.142,554.000,556.637,128.000,810.000,0.060
716.791,557.000,563.782,129.000,810.000,0.065
731.698,566.000,572.692,128.000,809.000,0.071
743.774,575.000,580.447,128.000,809.000,0.076
755.365,579.000,588.413,128.000,810.000,0.081
767.974,588.000,598.135,128.000,809.000,0.087
779.877,597.000,608.026,128.000,810.000,0.093
788.672,603.000,616.407,128.000,809.000,0.098
798.529,612.000,626.439,128.000,810.000,0.104
805.735,621.000,634.832,128.000,810.000,0.109
812.018,629.000,643.167,128.000,809.000,0.114
818.685,636.000,653.000,128.000,810.000,0.120
823.224,645.000,661.081,128.000,810.000,0.125
826.909,653.000,668.989,128.000,810.000,0.130
830.197,658.000,678.185,128.000,810.000,0.136
832.245,667.000,687.038,128.000,810.000,0.142
833.006,674.000,694.119,128.000,810.000,0.147
832.913,679.000,700.893,128.000,810.000,0.152
831.685,688.000,708.581,128.000,810.000,0.158
829.743,694.000,714.585,128.000,810.000,0.163
826.982,697.000,720.202,128.000,810.000,0.168
822.609,705.000,726.420,128.000,810.000,0.174
817.113,710.000,732.021,128.000,810.000,0.180
812.341,713.000,736.171,129.000,810.000,0.185
804.253,718.000,740.607,128.000,810.000,0.191
797.279,723.000,743.711,128.000,810.000,0.196
790.327,723.000,746.324,129.000,810.000,0.201
779.646,727.000,748.886,128.000,810.000,0.207
770.667,730.000,750.387,128.000,810.000,0.212
761.866,729.000,751.376,129.000,810.000,0.217
747.636,731.000,752.085,128.000,809.000,0.224
736.245,733.000,751.868,128.000,810.000,0.229
725.138,730.000,751.106,128.000,810.000,0.234
711.328,730.000,749.594,128.000,810.000,0.240
699.470,731.000,747.728,128.000,810.000,0.245
687.344,727.000,745.374,128.000,810.000,0.250
673.428,724.000,741.995,128.000,809.000,0.256
659.962,724.000,738.651,128.000,810.000,0.261
644.761,719.000,734.068,128.000,810.000,0.267
630.479,715.000,728.867,128.000,809.000,0.273
616.751,713.000,724.069,128.000,810.000,0.278
604.073,707.000,718.835,128.000,810.000,0.283
589.000,701.000,712.152,128.000,810.000,0.289
576.614,698.000,706.146,128.000,810.000,0.294
564.437,691.000,699.828,128.000,810.000,0.299
550.168,682.000,691.944,128.000,810.000,0.305
536.348,681.000,683.687,128.000,810.000,0.311
525.231,672.000,676.501,128.000,810.000,0.316
514.524,666.000,669.124,128.000,810.000,0.321
502.276,660.000,660.121,128.000,810.000,0.327
493.611,652.000,652.422,129.000,810.000,0.332
483.497,643.000,644.677,128.000,810.000,0.337
473.317,639.000,635.291,128.000,810.000,0.343
464.824,629.000,625.858,128.000,809.000,0.349
457.002,621.000,618.005,128.000,810.000,0.354
449.482,616.000,608.628,128.000,810.000,0.360
445.047,608.000,600.867,129.000,810.000,0.365
439.834,599.000,593.267,128.000,809.000,0.370
434.592,594.000,584.332,128.000,810.000,0.376
431.561,587.000,577.029,128.000,810.000,0.381
429.334,578.000,569.935,128.000,810.000,0.386
427.590,574.000,560.429,128.000,810.000,0.393
427.338,567.000,553.950,128.000,810.000,0.398
428.000,559.000,547.776,128.000,809.000,0.403
429.350,555.000,541.934,128.000,810.000,0.408
432.171,552.000,535.377,128.000,810.000,0.414
435.445,543.000,530.344,128.000,810.000,0.419
439.552,539.000,525.716,128.000,810.000,0.424
445.569,537.000,520.698,128.000,810.000,0.430
452.238,531.000,516.323,128.000,809.000,0.436
459.614,525.000,513.197,128.000,810.000,0.441
468.871,528.000,510.077,128.000,810.000,0.447
477.412,523.000,508.067,128.000,810.000,0.452
485.777,519.000,506.572,128.000,809.000,0.457
498.728,522.000,505.361,128.000,810.000,0.463
509.504,519.000,505.038,128.000,810.000,0.468
520.917,517.000,505.256,128.000,810.000,0.473
537.902,521.000,506.314,128.000,810.000,0.480
550.703,521.000,507.855,128.000,810.000,0.485
564.021,520.000,509.945,128.000,810.000,0.490
581.737,525.000,513.094,129.000,810.000,0.496
594.935,530.000,516.442,128.000,810.000,0.501
607.949,528.000,520.270,128.000,809.000,0.506
627.700,535.000,525.376,128.000,810.000,0.512
643.076,540.000,530.366,128.000,810.000,0.517
659.977,542.000,536.930,128.000,809.000,0.523
678.944,549.000,544.096,128.000,809.000,0.529
696.833,556.000,550.672,128.000,810.000,0.534
713.968,560.000,557.801,129.000,810.000,0.539
730.184,568.000,566.895,128.000,809.000,0.545
746.208,576.000,574.859,128.000,809.000,0.550
762.150,583.000,583.215,128.000,809.000,0.555
784.242,591.000,595.313,128.000,809.000,0.562
801.785,598.000,604.527,128.000,810.000,0.567
817.071,610.000,614.147,128.000,810.000,0.572
835.012,618.000,625.964,128.000,810.000,0.578
849.575,627.000,636.160,128.000,810.000,0.583
863.737,639.000,646.568,128.000,810.000,0.588
877.455,647.000,657.160,128.000,810.000,0.593
891.519,658.000,669.989,128.000,809.000,0.599
908.313,669.000,682.890,128.000,810.000,0.605
920.212,678.000,693.884,128.000,810.000,0.610
932.170,689.000,707.064,128.000,809.000,0.616
944.164,701.000,718.042,128.000,810.000,0.621
953.967,709.000,729.071,128.000,810.000,0.626
964.776,721.000,742.168,128.000,810.000,0.632
972.955,732.000,753.024,128.000,810.000,0.637
980.359,743.000,763.751,128.000,810.000,0.642
990.253,752.000,778.395,129.000,810.000,0.649
994.828,763.000,788.727,128.000,810.000,0.654
999.440,773.000,798.779,128.000,810.000,0.659
1004.679,782.000,810.464,129.000,810.000,0.665
1006.567,792.000,819.936,128.000,810.000,0.670
1008.416,801.000,829.038,128.000,810.000,0.675
1009.480,811.000,839.485,128.000,810.000,0.681
1009.403,818.000,847.775,128.000,810.000,0.686
1008.159,825.000,857.188,128.000,810.000,0.692
1005.667,834.000,865.980,128.000,810.000,0.698
1002.649,841.000,872.792,128.000,810.000,0.703
997.916,847.000,880.354,128.000,810.000,0.709
993.064,854.000,886.088,128.000,810.000,0.714
987.406,860.000,891.305,128.000,810.000,0.719
979.581,863.000,896.902,128.000,810.000,0.725
972.226,869.000,900.934,128.000,810.000,0.730
962.439,873.000,905.086,128.000,810.000,0.736
951.650,875.000,908.426,128.000,810.000,0.742
941.933,879.000,910.534,128.000,810.000,0.747
931.594,881.000,912.065,128.000,810.000,0.752
923.331,882.000,913.018,129.000,809.000,0.757
906.832,884.000,913.618,128.000,810.000,0.763
894.749,885.000,913.287,128.000,810.000,0.768
882.206,882.000,912.383,128.000,810.000,0.773
863.957,884.000,910.343,128.000,810.000,0.780
853.188,883.000,908.081,128.000,809.000,0.785
838.691,878.000,905.404,126.000,809.000,0.790
